S.No,STATE,DISTRICT,Lat,Lon,ACTUAL_1,NORMAL_1,PCTDEP_1,CAT_1,ACTUAL_2,NORMAL_2,PCTDEP_2,CAT_2,match_type,match_score
9,MEGHALAYA,WEST GARO HILLS,25.653,90.196,0.7,16.6,-96%,LD,403.1,1381.6,-71%,LD,EXACT,1.0
10,MEGHALAYA,WEST JAINTIA HILLS,25.483,92.285,2.9,31.6,-91%,LD,732.7,3416,-79%,LD,EXACT,1.0
11,MEGHALAYA,WEST KHASI HILLS,25.605,91.263,30.6,23.8,29%,E,629.4,2040.4,-69%,LD,EXACT,1.0
1,MIZORAM,AIZAWL,23.836,92.824,8.2,13.5,-39%,D,902.3,1122.6,-20%,D,EXACT,1.0
2,MIZORAM,CHAMPHAI,23.425,93.304,6.4,10.5,-39%,D,787.5,932.7,-16%,N,EXACT,1.0
3,MIZORAM,KOLASIB,24.158,92.727,15.7,11.5,37%,E,1073,1229.6,-13%,N,EXACT,1.0
4,MIZORAM,LAWNGTLAI,22.434,92.769,66.1,13.9,376%,LE,1055.7,1234.2,-14%,N,EXACT,1.0
5,MIZORAM,LUNGLEI,22.968,92.643,33.1,10.5,215%,LE,975.5,1243.8,-22%,D,EXACT,1.0
6,MIZORAM,MAMIT,23.753,92.463,10.7,10,7%,N,619.4,1102.5,-44%,D,EXACT,1.0
7,MIZORAM,SAIHA,22.291,93.001,5.3,13.7,-62%,LD,911.3,1252.4,-27%,D,EXACT,1.0
8,MIZORAM,SERCHHIP,23.299,92.934,0.7,9.2,-92%,LD,981.4,1090.1,-10%,N,EXACT,1.0
1,MANIPUR,BISHNUPUR,24.538,93.799,0,9.1,-100%,NR,359.9,839.4,-57%,D,EXACT,1.0
2,MANIPUR,CHANDEL,24.14,94.014,0,9.1,-100%,NR,409.2,839.4,-51%,D,EXACT,1.0
3,MANIPUR,CHURACHANDPUR,24.28,93.603,0,9.1,-100%,NR,192,839.4,-77%,LD,EXACT,1.0
4,MANIPUR,IMPHAL EAST,24.826,94.009,0,3.1,-100%,NR,397.3,550.1,-28%,D,EXACT,1.0
5,MANIPUR,IMPHAL WEST,24.772,93.868,5.6,11,-49%,D,576.5,1258.3,-54%,D,EXACT,1.0
6,MANIPUR,SENAPATI,25.398,94.127,0,3.9,-100%,NR,493.2,576.3,-14%,N,EXACT,1.0
7,MANIPUR,TAMENGLONG,25.047,93.556,1,9.2,-89%,LD,1447.2,3093.1,-53%,D,EXACT,1.0
8,MANIPUR,THOUBAL,24.621,94.012,0,3.1,-100%,NR,255.9,550.1,-53%,D,EXACT,1.0
9,MANIPUR,UKHRUL,25.23,94.427,0.8,7.3,-89%,LD,742.8,802.8,-7%,N,EXACT,1.0
1,TRIPURA,DHALAI,23.839,91.92,28.6,6.1,369%,LE,888.7,986,-10%,N,EXACT,1.0
2,TRIPURA,GOMATI,23.53,91.619,40.8,8.1,404%,LE,823.7,1064.8,-23%,D,EXACT,1.0
3,TRIPURA,KHOWAI,23.947,91.655,38.8,6.6,488%,LE,919.9,975,-6%,N,EXACT,1.0
4,TRIPURA,NORTH TRIPURA,24.095,92.209,13.8,12.7,9%,N,817.6,1014.3,-19%,N,EXACT,1.0
5,TRIPURA,SIPAHIJALA,23.587,91.33,7,11.3,-38%,D,892.3,998.6,-11%,N,EXACT,1.0
6,TRIPURA,SOUTH TRIPURA,23.192,91.588,2.1,12.8,-84%,LD,889.7,1310.9,-32%,D,EXACT,1.0
7,TRIPURA,UNAKOTI,24.193,92.04,17.4,9.4,85%,LE,999.8,1054.7,-5%,N,EXACT,1.0
8,TRIPURA,WEST TRIPURA,23.888,91.397,30.4,10.2,198%,LE,953.5,902.8,6%,N,EXACT,1.0
1,NAGALAND,DIMAPUR,25.776,93.795,3.3,6.1,-47%,D,547.4,599.4,-9%,N,EXACT,1.0
2,NAGALAND,KIPHIRE,25.847,94.824,0.3,3.4,-91%,LD,578.4,439.6,32%,E,EXACT,1.0
3,NAGALAND,KOHIMA,25.77,94.11,4.7,7.1,-35%,D,809.3,860,-6%,N,EXACT,1.0
4,NAGALAND,LONGLENG,26.559,94.798,,6.8,,ND,,795.8,,ND,EXACT,1.0
5,NAGALAND,MOKOKCHUNG,26.472,94.529,2.7,11.2,-76%,LD,1137.4,1028.2,11%,N,EXACT,1.0
6,NAGALAND,MON,26.684,95.018,14.6,7.1,106%,LE,563.4,822.4,-31%,D,EXACT,1.0
7,NAGALAND,PEREN,25.493,93.615,2.7,9.5,-72%,LD,637.9,646.1,-1%,N,EXACT,1.0
8,NAGALAND,PHEK,25.649,94.532,3,7.4,-60%,LD,541.6,614.9,-12%,N,EXACT,1.0
9,NAGALAND,TUENSANG,26.177,94.887,,6.8,,ND,,795.8,,ND,EXACT,1.0
10,NAGALAND,WOKHA,26.196,94.198,3.2,6.6,-51%,D,907.6,901.4,1%,N,EXACT,1.0
11,NAGALAND,ZUNHEBOTO,26.003,94.486,4.3,7.9,-46%,D,1237.7,789.4,57%,E,EXACT,1.0
1,WEST BENGAL,ALIPURDUAR,26.631,89.457,0.2,21,-99%,LD,2146.3,2233.1,-4%,N,EXACT,1.0
2,WEST BENGAL,COOCH BEHAR,26.292,89.346,1.3,23.5,-95%,LD,1651.8,1716,-4%,N,EXACT,1.0
3,WEST BENGAL,DARJEELING,26.853,88.263,1.7,20.2,-92%,LD,1672.9,2003.3,-16%,N,FUZZY,0.842
