0,1,2,3,4,5,6,7,8,9,10,11
6,LATUR,0,5.6,,-100%,NR,408,652.3,-37%,D,
7,NANDED,0,4.4,,-100%,NR,511.3,767.6,-33%,D,
8,PARBHANI,0,4.7,,-100%,NR,424.7,693.2,-39%,D,
,VIDARBHA,9.7,3.2,,203%,LE,687.3,926.7,-26%,D,
1,AKOLA,1.7,2.3,,-26%,D,406.9,685.2,-41%,D,
2,AMRAOTI,0.1,3.4,,-98%,LD,472.1,813,-42%,D,
3,BHANDARA,19.1,2.9,,557%,LE,911.2,1072.7,-15%,N,
4,BULDHANA,0.1,2.4,,-98%,LD,511.1,639.3,-20%,D,
5,CHANDRAPUR,7.5,3.7,,102%,LE,718.2,1064.9,-33%,D,
6,GADCHIROLI,35.4,4.3,,724%,LE,1082.2,1277,-15%,N,
7,GONDIA,41.4,2.4,,1625%,LE,1206,1201.4,0%,N,
8,NAGPUR,3.5,3.5,,1%,N,621,927.9,-33%,D,
9,WARDHA,0.6,2.9,,-79%,LD,551.7,829.8,-34%,D,
10,WASHIM,0.2,2.8,,-93%,LD,487.8,765,-36%,D,
11,YEOTMAL,0.3,2.6,,-87%,LD,592.6,798.2,-26%,D,
,CHHATTISGARH,67.1,4.1,,1537%,LE,1186.6,1116.9,6%,N,
1,BALOD,119.6,2.3,,5101%,LE,1312.6,1012.9,30%,E,
2,BALODA BAZAR,74.6,2.9,,2473%,LE,1123.2,914.3,23%,E,
3,BALRAMPUR,23.9,6.5,,268%,LE,1548.9,986.8,57%,E,
4,BASTAR,61.3,4.4,,1293%,LE,1367.9,1149.6,19%,N,
5,BEMETARA,72.8,4.8,,1417%,LE,669.1,1033.5,-35%,D,
6,BIJAPUR,48.4,3,,1515%,LE,1519.7,1354.6,12%,N,
7,BILASPUR,62.5,2.2,,2742%,LE,1059.9,1036.5,2%,N,
8,DANTEWADA,55.9,3,,1762%,LE,1243.6,1275.3,-2%,N,
9,DHAMTARI,99.4,1.6,,6112%,LE,1297.2,1047.4,24%,E,
,,,,DAY: 26-09-2026,,,,PERIOD: 01-06-2026 to 26-09-2026,,,
S.No,MET.SUBDIVISION/UT/STATE/DISTRICT,ACTUAL(mm),,NORMAL(mm),%DEP.,CAT.,ACTUAL(mm),NORMAL(mm),%DEP.,CAT.,
10,DURG,132.8,3.4,,3805%,LE,975.2,970,1%,N,
11,GARIABAND,102.2,2.1,,4768%,LE,1435.5,1041.8,38%,E,
12,GAURELA PENDRA MARWAHI,72.2,6.9,,947%,LE,1031.3,1086.5,-5%,N,
13,JANJGIR,44.6,4.3,,938%,LE,1199.4,1089.3,10%,N,
14,JASHPUR,33.1,8.2,,303%,LE,862.5,1336.3,-35%,D,
15,KABIRDHAM,110.7,3.7,,2893%,LE,782.5,854.6,-8%,N,
16,KANKER,113.8,4.3,,2546%,LE,1150.7,1301.2,-12%,N,
17,KHAIRAGARH CHH GANDAI,115.6,5,,2211%,LE,870.5,726.5,20%,E,
18,KONDAGAON,111.6,4.5,,2380%,LE,1283.7,1159.3,11%,N,
19,KORBA,65.6,4.4,,1391%,LE,1164.5,1246.8,-7%,N,
20,KORIYA,26.8,5.7,,370%,LE,929.4,1093.3,-15%,N,
21,MAHASAMUND,37.6,2.2,,1607%,LE,1240.1,1052.5,18%,N,
22,MANENDRAGARH BHARATPUR,29.6,5.7,,418%,LE,1189.9,1093.2,9%,N,
23,MOHALA MANPUR CHOWKI,67.3,2.8,,2305%,LE,1003.6,1013.3,-1%,N,
24,MUNGELI,99.8,2.5,,3891%,LE,1239.6,930.4,33%,E,
25,NARAYANPUR,119.8,3.6,,3227%,LE,1715.3,1215.7,41%,E,
26,RAIGARH,42.5,5,,750%,LE,1023.8,1176.5,-13%,N,
27,RAIPUR,117.5,4.9,,2298%,LE,1320.1,1006.9,31%,E,
28,RAJNANDGAON,85.5,3.8,,2150%,LE,1000.4,1015.3,-1%,N,
29,SAKTI,21.4,1.7,,1160%,LE,992.8,1104.4,-10%,N,
30,SARANGARH BILAIGARH,20,2,,902%,LE,1178.4,915.9,29%,E,
31,SUKMA,20.3,4.9,,315%,LE,1224.9,1194.2,3%,N,
32,SURAJPUR,21.7,3.6,,502%,LE,1236.5,1174.3,5%,N,
33,SURGUJA,19.2,5.7,,236%,LE,685.5,1148.2,-40%,D,
,ANDHRA PRADESH,1.9,5.3,,-64%,LD,388.8,501,-22%,D,
,COASTAL ANDHRA PRADESH & YANAM,2.3,5.2,,-56%,D,499.6,579.7,-14%,N,
,,,,DAY: 26-09-2026,,,,PERIOD: 01-06-2026 to 26-09-2026,,,
S.No,MET.SUBDIVISION/UT/STATE/DISTRICT,ACTUAL(mm),,NORMAL(mm),%DEP.,CAT.,ACTUAL(mm),NORMAL(mm),%DEP.,CAT.,
,ANDHRA PRADESH,1.9,5.3,,-64%,LD,388.8,501,-22%,D,
1,ANAKAPALLI,2.1,7.2,,-72%,LD,587.4,626,-6%,N,
2,BAPATLA,0,3.4,,-100%,NR,332.7,540,-38%,D,
3,DR B R AMBEDKAR KONASEEMA,0,5.7,,-100%,NR,821.4,757,9%,N,
4,EAST GODAVARI,0,4.9,,-100%,NR,636.3,721,-12%,N,
5,ELURU,0,5.2,,-100%,NR,733.5,837.7,-12%,N,
6,GUNTUR,0,2.9,,-100%,NR,632.4,577.4,10%,N,
7,KAKINADA,0,4.2,,-100%,NR,610.5,650,-6%,N,
8,KRISHNA,0,4.2,,-100%,NR,603.8,649.8,-7%,N,
9,NTR DISTRICT,0,3.9,,-100%,NR,572.7,694.1,-17%,N,
10,PALNADU,0,3.6,,-100%,NR,370.6,535.6,-31%,D,
11,PARVATHIPURAM MANYAM,1.6,5.3,,-69%,LD,643.6,777.2,-17%,N,
12,PRAKASAM,0,6,,-100%,NR,197.6,353.5,-44%,D,
13,SPSR NELLORE,0,5.6,,-100%,NR,211.8,318.8,-34%,D,
14,SRI ALLURI SITHARAMARAJU DISTRICT,12.5,4.9,,154%,LE,710.1,894,-21%,D,
15,SRIKAKULAM,8.4,6.6,,27%,E,729.4,705.3,3%,N,
16,VISHAKHAPATNAM,3.7,6.9,,-47%,D,635.2,552.8,15%,N,
17,VIZIANAGARAM,0.2,5.8,,-97%,LD,657.1,678.2,-3%,N,
18,WEST GODAVARI,0,4.9,,-100%,NR,605.7,719.1,-16%,N,
,PUDUCHERRY (UT),0,4.5,,-100%,NR,251.3,394.8,-36%,D,
1,YANAM,0,3,,-100%,NR,767,726,6%,N,
,RAYALASEEMA,1.3,5.4,,-76%,LD,243.7,389.3,-37%,D,
1,ANANTAPURAMU,1.2,5.3,,-77%,LD,256.8,316.5,-19%,N,
2,ANNAMAYYA DISTRICT,0.6,4.3,,-85%,LD,153.9,364.8,-58%,D,
3,CHITTOOR,5.1,6.5,,-21%,D,286.7,432.2,-34%,D,
4,KURNOOL,0,4.9,,-100%,NR,266.8,412.5,-35%,D,
,,,,DAY: 26-09-2026,,,,PERIOD: 01-06-2026 to 26-09-2026,,,
S.No,MET.SUBDIVISION/UT/STATE/DISTRICT,ACTUAL(mm),,NORMAL(mm),%DEP.,CAT.,ACTUAL(mm),NORMAL(mm),%DEP.,CAT.,
5,NANDYAL,0,5.5,,-100%,NR,318.9,488.2,-35%,D,
6,SRI SATHYASAI DISTRICT,0,5.6,,-100%,NR,172,317.9,-46%,D,
7,TIRUPATI,4,4.5,,-11%,N,246.1,419.7,-41%,D,
8,YSR DISTRICT,0.3,6,,-94%,LD,235.9,388.9,-39%,D,
,TELANGANA,2.3,4.7,,-51%,D,605.1,717.4,-16%,N,
1,ADILABAD,0,3.5,,-99%,LD,685.7,931,-26%,D,
2,B. KOTHAGUDEM,1.6,5,,-68%,LD,754.6,933.7,-19%,N,
3,HANUMAKONDA,4.6,4.1,,12%,N,523,674.1,-22%,D,
4,HYDERABAD,0,6.2,,-99%,LD,428.4,606.9,-29%,D,
5,J. BHUPALPALLY,18.8,2.6,,622%,LE,869,964.1,-10%,N,
6,JAGTIAL,0.7,3.3,,-79%,LD,875.3,795.1,10%,N,
7,JANGAON,0,5.1,,-99%,LD,533.7,662.8,-19%,N,
8,JOGULAMBA GADWAL,0.2,5.2,,-97%,LD,243.6,425.8,-43%,D,
9,KAMAREDDY,0.1,5.5,,-99%,LD,835.6,761.6,10%,N,
10,KARIMNAGAR,4.2,4.8,,-13%,N,692.1,679.5,2%,N,
11,KHAMMAM,0,4.4,,-100%,NR,648.4,763.9,-15%,N,
12,KUMARAM BHEEM,5.4,2.9,,84%,LE,1101.3,959,15%,N,
13,M. MALKAJGIRI,0,5.2,,-99%,LD,321,526.8,-39%,D,
14,MAHABUBABAD,0.4,5.4,,-92%,LD,708.2,852,-17%,N,
15,MAHABUBNAGAR,0,5.7,,-99%,LD,409.8,495.2,-17%,N,
16,MANCHERIAL,9.8,3.6,,171%,LE,1036.1,918.6,13%,N,
17,MEDAK,0.2,5.2,,-95%,LD,697.4,753.2,-7%,N,
18,MULUGU,18.4,4.8,,283%,LE,988.8,965.3,2%,N,
19,NAGARKURNOOL,0,4.9,,-99%,LD,362.1,470.6,-23%,D,
20,NALGONDA,0.1,4.3,,-98%,LD,232.2,511.8,-55%,D,
21,NARAYANPET,0.1,6.3,,-99%,LD,400.1,448.8,-11%,N,
,,,,,DAY: 26-09-2026,,,,PERIOD: 01-06-2026 to 26-09-2026,,
S.No,MET.SUBDIVISION/UT/STATE/DISTRICT,,ACTUAL(mm),,NORMAL(mm),%DEP.,CAT.,ACTUAL(mm),NORMAL(mm),%DEP.,CAT.
22,NIRMAL,0,,3.8,,-99%,LD,434.6,871.6,-50%,D
23,NIZAMABAD,0.6,,4,,-86%,LD,709.7,811.1,-12%,N
24,PEDDAPALLE,7.6,,5.2,,46%,E,795.5,859.7,-7%,N
25,RAJANNA SIRCILLA,0.3,,4.6,,-93%,LD,717,674.8,6%,N
26,RANGAREDDY,0.1,,6.6,,-98%,LD,386.7,532.8,-27%,D
27,SANGAREDDY,0,,6.1,,-100%,NR,460,684.8,-33%,D
28,SIDDIPET,0.5,,5.1,,-90%,LD,661.6,608.7,9%,N
29,SURYAPET,0.5,,5.1,,-91%,LD,483.9,599,-19%,N
30,VIKARABAD,0.1,,6.9,,-99%,LD,480.5,644.8,-25%,D
31,WANAPARTHY,0,,7.6,,-99%,LD,358,525.1,-32%,D
32,WARANGAL,2.8,,5.5,,-48%,D,566.6,894.8,-37%,D
33,Y. BHUVANAGIRI,0,,2.7,,-100%,NR,347.4,518.2,-33%,D
,TAMILNADU & PUDUCHERRY & KARAIKAL,0.4,,4.4,,-90%,LD,255.7,309.2,-17%,N
,TAMILNADU,0.5,,4.4,,-90%,LD,256,309.2,-17%,N
1,ARIYALUR,0,,4.8,,-100%,NR,287.8,296.1,-3%,N
2,CHENGALPATTU,0,,3.5,,-100%,NR,202.1,375.4,-46%,D
3,CHENNAI,0,,4.6,,-100%,NR,367,418.3,-12%,N
4,COIMBATORE,1,,3.6,,-72%,LD,704.5,668.8,5%,N
5,CUDDALORE,0,,5.3,,-100%,NR,323.6,333,-3%,N
6,DHARMAPURI,0,,7.9,,-100%,NR,301.4,355.8,-15%,N
7,DINDIGUL,0,,4,,-100%,NR,235.6,280.1,-16%,N
8,ERODE,0.2,,3.6,,-94%,LD,182.9,247.1,-26%,D
9,KALLAKURICHI,0,,4.4,,-100%,NR,284,377.5,-25%,D
10,KANCHEEPURAM,0,,3.9,,-100%,NR,304.1,444,-32%,D
11,KANYAKUMARI,1,,5.4,,-81%,LD,433.2,480.6,-10%,N
12,KARUR,0,,3,,-100%,NR,86.6,185.3,-53%,D
,,,,DAY: 26-09-2026,,,,PERIOD: 01-06-2026 to 26-09-2026,,,
S.No,MET.SUBDIVISION/UT/STATE/DISTRICT,ACTUAL(mm),,NORMAL(mm),%DEP.,CAT.,ACTUAL(mm),NORMAL(mm),%DEP.,CAT.,
13,KRISHNAGIRI,1,6.3,,-84%,LD,253.7,332.2,-24%,D,
14,MADURAI,0.4,6,,-93%,LD,231.7,276.9,-16%,N,
15,MAYILADUTHURAI,0,4.5,,-100%,NR,216.5,284.8,-24%,D,
16,NAGAPATTINAM,0,3.4,,-100%,NR,114.2,231.1,-51%,D,
17,NAMAKKAL,0,4.9,,-100%,NR,189.8,310.6,-39%,D,
18,NILGIRIS,12.8,5.5,,133%,LE,564.7,818.6,-31%,D,
19,PERAMBALUR,0,4.8,,-100%,NR,260,262.9,-1%,N,
20,PUDUKKOTTAI,0,3.8,,-100%,NR,217.2,277.9,-22%,D,
21,RAMANATHAPURAM,0,2.7,,-100%,NR,72.7,119.4,-39%,D,
22,RANIPET,0,3.6,,-100%,NR,330.1,420.6,-22%,D,
23,SALEM,0,5.5,,-100%,NR,290,383,-24%,D,
24,SIVAGANGA,0,4.9,,-100%,NR,322.5,296.9,9%,N,
25,TENKASI,2.3,1.7,,36%,E,193.7,162.6,19%,N,
26,THANJAVUR,0,4.4,,-100%,NR,191.2,284.9,-33%,D,
27,THENI,0,4.1,,-100%,NR,212.6,222.2,-4%,N,
28,THIRUCHIRAPALLI,0,5.3,,-100%,NR,166,257.6,-36%,D,
29,THIRUVALLUR,0.8,4.4,,-82%,LD,330.6,440,-25%,D,
30,THOOTHUKUDI,0,1.9,,-100%,NR,22,59.2,-63%,LD,
31,TIRUNELVELI,0.1,2,,-95%,LD,404.6,83.1,387%,LE,
32,TIRUPATTUR,0,6.6,,-100%,NR,238.8,405.3,-41%,D,
33,TIRUPPUR,0,2.8,,-100%,NR,93.9,140,-33%,D,
34,TIRUVANNAMALAI,0,5.6,,-100%,NR,304.5,425.8,-28%,D,
35,TIRUVARUR,0,5.4,,-100%,NR,195.6,276.4,-29%,D,
36,VELLORE,1.1,5.6,,-81%,LD,270.4,407.9,-34%,D,
37,VILLUPURAM,0,3.9,,-100%,NR,335.8,377.4,-11%,N,
38,VIRUDHUNAGAR,0,4.1,,-100%,NR,193.9,179.5,8%,N,
,,,,,DAY: 26-09-2026,,,,PERIOD: 01-06-2026 to 26-09-2026,,
S.No,MET.SUBDIVISION/UT/STATE/DISTRICT,,ACTUAL(mm),,NORMAL(mm),%DEP.,CAT.,ACTUAL(mm),NORMAL(mm),%DEP.,CAT.
,PUDUCHERRY (UT),0,,4.5,,-100%,NR,251.3,394.8,-36%,D
1,KARAIKAL,0,,4.2,,-100%,NR,260.3,277.9,-6%,N
2,PUDUCHERRY,0,,4.8,,-100%,NR,150.3,364.8,-59%,D
,KARNATAKA,2.3,,6.6,,-66%,LD,570.1,808.1,-29%,D
,NORTHERN INTERIOR KARNATAKA,0.2,,5.9,,-97%,LD,328.1,458.8,-28%,D
1,BAGALKOTE,0.6,,6.1,,-89%,LD,270.1,325.8,-17%,N
2,BELAGAVI,0,,5.7,,-100%,NR,569,551.5,3%,N
3,BIDAR,0,,5,,-100%,NR,487.8,628.1,-22%,D
4,DHARWAD,0,,4.7,,-100%,NR,254.6,497.8,-49%,D
5,GADAG,0,,6.5,,-100%,NR,261,333.9,-22%,D
6,HAVERI,0,,6.1,,-100%,NR,281.9,474.1,-41%,D
7,KALABURAGI,0,,6.1,,-100%,NR,260.2,552.7,-53%,D
8,KOPPAL,0,,7,,-100%,NR,239.1,359,-33%,D
9,RAICHUR,0,,5.4,,-100%,NR,246.1,397.8,-38%,D
10,VIJAYAPURA,0.8,,6.3,,-88%,LD,225.9,365.1,-38%,D
11,YADGIR,0,,5.3,,-100%,NR,358.5,494.1,-27%,D
,SOUTHERN INTERIOR KARNATAKA,2.8,,6.4,,-57%,D,449.2,655.2,-31%,D
1,BALLARI,0,,5.3,,-100%,NR,219.9,343.2,-36%,D
2,BENGALURU RURAL,0.7,,6.3,,-89%,LD,316,409.9,-23%,D
3,BENGALURU URBAN,1,,6.6,,-85%,LD,230.3,428,-46%,D
4,CHAMARAJANAGAR,7.4,,5.3,,39%,E,189.9,328.9,-42%,D
5,CHIKABALLAPURA,0.1,,4.6,,-99%,LD,210.7,393.6,-46%,D
6,CHIKKAMAGALURU,8,,7.9,,1%,N,1273.3,1472.3,-14%,N
7,CHITRADURGA,0.4,,5.7,,-93%,LD,166.3,274.1,-39%,D
8,DAVANGERE,0,,5.7,,-100%,NR,281.8,364.7,-23%,D
9,HASSAN,1.9,,7.1,,-73%,LD,228.6,656.7,-65%,LD
,,,DAY: 26-09-2026,,,,PERIOD: 01-06-2026 to 26-09-2026,,,,
S.No,MET.SUBDIVISION/UT/STATE/DISTRICT,ACTUAL(mm),NORMAL(mm),%DEP.,CAT.,ACTUAL(mm),NORMAL(mm),%DEP.,CAT.,,
10,KODAGU,15.6,8.7,80%,LE,1560,2222.5,-30%,D,,
11,KOLAR,0,5,-100%,NR,179.1,382.2,-53%,D,,
12,MANDYA,2.2,6.7,-67%,LD,161.7,289.3,-44%,D,,
13,MYSURU,1.7,5.3,-68%,LD,190.6,352,-46%,D,,
14,RAMANAGARA,,6.7,,ND,34.2,433.9,-92%,LD,,
15,SHIVAMOGGA,4.7,6.4,-26%,D,1472.6,1603.7,-8%,N,,
16,TUMAKURU,0.3,7.6,-96%,LD,173.4,356,-51%,D,,
17,VIJAYANAGARA,0.6,5.5,-90%,LD,193.7,356.3,-46%,D,,
,COASTAL KARNATAKA,8.9,10.9,-18%,N,2214.3,3060.1,-28%,D,,
1,DAKSHINA KANNADA,10.8,14.7,-26%,D,2538.7,3295.4,-23%,D,,
2,UDUPI,13.9,11.5,21%,E,2639,3717.7,-29%,D,,
3,UTTARA KANNADA,6.2,8.9,-30%,D,1913.1,2719.5,-30%,D,,
,KERALA & MAHE,8.1,8.6,-6%,N,1451.7,1985.5,-27%,D,,
,KERALA,8.1,8.5,-4%,N,1451.6,1985.4,-27%,D,,
1,ALAPUZHA,6.5,7.9,-18%,N,1099.6,1610.7,-32%,D,,
2,ERNAKULAM,0.5,11.3,-95%,LD,1523.4,2075.1,-27%,D,,
3,IDUKKI,0.2,9.3,-98%,LD,1375.9,2527.4,-46%,D,,
4,KANNUR,18.4,8.9,107%,LE,2309.5,2595.5,-11%,N,,
5,KASARGOD,6.5,11.9,-45%,D,2381,2817.3,-15%,N,,
6,KOLLAM,5.4,7.2,-24%,D,784.9,1229.4,-36%,D,,
7,KOTTAYAM,0,10.1,-99%,LD,1588.8,1869.1,-15%,N,,
8,KOZHIKODE,32.9,9.1,262%,LE,2122,2529,-16%,N,,
9,MALAPPURAM,11.7,7.2,62%,LE,1421.5,1924.7,-26%,D,,
10,PALAKKAD,5.6,5.9,-4%,N,1096.8,1528.2,-28%,D,,
11,PATHANAMTHITTA,5.8,9.4,-38%,D,1405.7,1535.9,-8%,N,,
12,THIRUVANANTHAPURAM,3.1,6.5,-52%,D,720.3,822.7,-12%,N,,
,,,DAY: 26-09-2026,,,,PERIOD: 01-06-2026 to 26-09-2026,,,,
S.No,MET.SUBDIVISION/UT/STATE/DISTRICT,ACTUAL(mm),NORMAL(mm),%DEP.,CAT.,ACTUAL(mm),NORMAL(mm),%DEP.,CAT.,,
13,THRISSUR,5.6,10.1,-45%,D,1493.9,2097.9,-29%,D,,
14,WYNAD,18.7,6.3,197%,LE,1154.9,2436.8,-53%,D,,
,PUDUCHERRY (UT),0,4.5,-100%,NR,251.3,394.8,-36%,D,,
1,MAHE,,8.7,,ND,1660.4,2360.4,-30%,D,,
,LAKSHADWEEP,1.3,5.7,-78%,LD,720,1010.1,-29%,D,,
1,LAKSHADWEEP,1.3,5.7,-78%,LD,720,1010.1,-29%,D,,
,LEGEND,,,,,,,,,,
CATEGORY,% DEPARTURES OF RAINFALL,COLOUR CODE,,,,,,,,,
Large Excess,>= 60%,,,,,,,,,,
(LE or L.Excess),,,,,,,,,,,
Excess (E),>= 20% and <= 59%,,,,,,,,,,
Normal (N),>= -19% and <= +19%,,,,,,,,,,
Deficient (D),>= -59% and <= -20%,,,,,,,,,,
Large Deficient,>= -99% and <= -60%,,,,,,,,,,
(LD or L.Deficient),,,,,,,,,,,
No Rain(NR),= -100%,,,,,,,,,,
Not Available,ND,,,,,,,,,,
Note :,The rainfall values are rounded off up to one place of decimal.,,,,,,,,,,
