0,1,2,3,4,5,6,7,8,9,10,11
23,MAINPURI,43.8,2.1,,1985%,LE,438.2,649.9,-33%,D,
24,MATHURA,0,0.7,,-100%,NR,261.6,486.2,-46%,D,
25,MEERUT,1,0.7,,43%,E,997.3,645.9,54%,E,
26,MORADABAD,17.7,1,,1670%,LE,932.2,870.1,7%,N,
27,MUZAFFARNAGAR,0,1.3,,-100%,NR,989.6,660,50%,E,
28,PILIBHIT,63.8,2.4,,2556%,LE,411.7,836.9,-51%,D,
29,RAMPUR,27.2,2.1,,1197%,LE,640.4,726.6,-12%,N,
30,SAHARANPUR,0,1.4,,-100%,NR,518.3,753.7,-31%,D,
31,SAMBHAL,25.8,0.8,,3129%,LE,1177,656.2,79%,LE,
32,SHAHJAHANPUR,162.1,1.6,,10032%,LE,921.1,758.2,21%,E,
33,SHAMLI,0,0.1,,-100%,NR,166.8,533.4,-69%,LD,
,EAST UTTAR PRADESH,59.9,3.7,,1518%,LE,774.3,787.9,-2%,N,
1,AMBEDKAR NAGAR,16.5,2.4,,585%,LE,759.6,840.2,-10%,N,
2,AMETHI,26.8,1.9,,1309%,LE,415.6,663.3,-37%,D,
3,AYODHYA,40.9,3.7,,1005%,LE,750.8,841.4,-11%,N,
4,AZAMGARH,11.7,6.3,,85%,LE,677.4,837.1,-19%,N,
5,BAHRAICH,193.1,3.9,,4852%,LE,1285.5,972.1,32%,E,
6,BALLIA,11.3,8.2,,37%,E,606.5,706.2,-14%,N,
7,BALRAMPUR,63.5,5.1,,1146%,LE,786.1,786.4,0%,N,
,,,DAY: 26-09-2026,,,,PERIOD: 01-06-2026 to 26-09-2026,,,,
