State,District,Actual,Normal,Dept,Category,Cumulative_Actual,Cumulative_Normal,Cumulative_Dept,Cumulative_Category,Source_Page,SNo,Data_Date
SIKKIM,Pakyong,24.5,17.4,41.0,E,917.8,741.4,24.0,E,6,5,2026-07-22
SIKKIM,Soreng,28.0,20.8,35.0,E,1148.5,797.8,44.0,E,6,6,2026-07-22
GANGETIC WEST BENGAL,BANKURA,53.5,17.2,211.0,LE,480.7,483.7,-1.0,N,6,1,2026-07-22
GANGETIC WEST BENGAL,BIRBHUM,15.6,17.7,-12.0,N,320.3,483.4,-34.0,D,6,2,2026-07-22
GANGETIC WEST BENGAL,EAST MIDNAPORE,51.7,13.5,283.0,LE,596.8,513.8,16.0,N,6,3,2026-07-22
GANGETIC WEST BENGAL,HOOGHLY,4.9,16.8,-71.0,LD,483.8,454.3,6.0,N,6,4,2026-07-22
GANGETIC WEST BENGAL,HOWRAH,0.5,13.0,-96.0,LD,577.1,477.5,21.0,E,6,5,2026-07-22
GANGETIC WEST BENGAL,JHARGRAM,12.2,14.6,-16.0,N,399.6,481.6,-17.0,N,6,6,2026-07-22
GANGETIC WEST BENGAL,KOLKATA,0.0,14.0,-100.0,NR,603.8,552.0,9.0,N,6,7,2026-07-22
GANGETIC WEST BENGAL,MURSHIDABAD,9.4,14.8,-37.0,D,328.7,439.9,-25.0,D,6,8,2026-07-22
GANGETIC WEST BENGAL,NADIA,4.1,13.5,-70.0,LD,348.9,431.0,-19.0,N,6,9,2026-07-22
GANGETIC WEST BENGAL,NORTH,24.0,,7.2,16.7,-57.0,,624.2,499.9,6,10,2026-07-22
GANGETIC WEST BENGAL,PASCHIM BARDHAMAN,35.9,11.4,215.0,LE,398.6,458.7,-13.0,N,6,11,2026-07-22
GANGETIC WEST BENGAL,PURBA BARDHAMAN,11.2,13.7,-18.0,N,448.8,438.4,2.0,N,6,12,2026-07-22
GANGETIC WEST BENGAL,PURULIA,21.0,14.3,47.0,E,284.1,451.7,-37.0,D,6,13,2026-07-22
GANGETIC WEST BENGAL,SOUTH,24.0,,24.0,21.7,11.0,,580.9,610.8,6,14,2026-07-22
GANGETIC WEST BENGAL,WEST MIDNAPORE,11.4,14.6,-22.0,D,719.4,481.6,49.0,E,6,15,2026-07-22
ODISHA,ANGUL,27.8,14.1,97.0,LE,568.0,441.0,29.0,E,6,1,2026-07-22
ODISHA,BALANGIR,26.5,15.7,69.0,LE,616.8,432.6,43.0,E,6,2,2026-07-22
ODISHA,BALASORE,35.0,10.8,224.0,LE,496.6,469.4,6.0,N,6,3,2026-07-22
