State,District,Lat,Lon,Actual,Normal,Dept,Category,Cumulative_Actual,Cumulative_Normal,Cumulative_Dept,Cumulative_Category
BIHAR,EAST CHAMPARAN,26.618,84.922,1.3,8.8,-86.0,LD,299.3,433.6,-31.0,D
BIHAR,GAYA,24.697,84.934,8.8,6.0,47.0,E,150.2,339.9,-56.0,D
BIHAR,GOPALGANJ,26.444,84.374,0.5,6.0,-91.0,LD,322.8,398.2,-19.0,N
BIHAR,JAHANABAD,25.155,85.017,2.1,4.8,-56.0,D,103.1,340.8,-70.0,LD
BIHAR,JAMUI,24.785,86.293,1.8,9.4,-81.0,LD,174.1,391.4,-56.0,D
BIHAR,KATIHAR,25.55,87.64,11.1,13.6,-18.0,N,287.7,478.5,-40.0,D
BIHAR,KHAGARIA,25.511,86.601,14.4,10.7,35.0,E,352.2,419.2,-16.0,N
BIHAR,KISHANGANJ,26.296,87.939,3.6,16.8,-78.0,LD,659.4,806.0,-18.0,N
BIHAR,LAKHISARAI,25.162,86.137,5.4,10.5,-48.0,D,336.5,367.0,-8.0,N
BIHAR,MADHEPURA,25.822,86.898,10.1,10.4,-3.0,N,282.0,448.4,-37.0,D
BIHAR,MADHUBANI,26.402,86.222,0.2,10.6,-98.0,LD,285.0,419.2,-32.0,D
BIHAR,MUNGER,25.21,86.526,15.0,9.0,67.0,LE,279.3,418.4,-33.0,D
BIHAR,MUZAFFARPUR,26.152,85.329,1.2,5.8,-79.0,LD,204.6,404.9,-49.0,D
BIHAR,NALANDA,25.219,85.448,9.1,7.4,22.0,E,180.4,344.0,-48.0,D
BIHAR,NAWADA,24.811,85.59,4.9,6.0,-19.0,N,171.6,341.0,-50.0,D
BIHAR,PATNA,25.455,85.227,2.8,6.6,-57.0,D,186.8,366.8,-49.0,D
BIHAR,PURNEA,25.815,87.404,2.1,14.3,-85.0,LD,369.0,638.5,-42.0,D
BIHAR,ROHTAS,24.98,84.026,3.9,7.5,-48.0,D,166.5,323.8,-49.0,D
