State,District,Lat,Lon
JAMMU & KASHMIR,KULGAM,33.603,74.843
JAMMU & KASHMIR,KUPWARA,34.523,74.204
JAMMU & KASHMIR,POONCH,33.803,74.014
JAMMU & KASHMIR,PULWAMA,33.94,75.017
JAMMU & KASHMIR,RAJOURI,33.273,74.38
JAMMU & KASHMIR,RAMBAN,33.323,75.195
JAMMU & KASHMIR,REASI,33.229,74.841
JAMMU & KASHMIR,SAMBA,32.578,75.094
JAMMU & KASHMIR,SHOPIAN,33.733,74.818
JAMMU & KASHMIR,SRINAGAR,34.116,74.927
JAMMU & KASHMIR,UDHAMPUR,32.894,75.303
JHARKHAND,BOKARO,23.695,85.996
JHARKHAND,CHATRA,24.173,84.887
JHARKHAND,DEOGHAR,24.329,86.739
JHARKHAND,DHANBAD,23.827,86.471
JHARKHAND,DUMKA,24.319,87.266
JHARKHAND,EAST SINGHBHUM,22.583,86.451
JHARKHAND,GARHWA,24.104,83.698
JHARKHAND,GIRIDIH,24.294,86.11
JHARKHAND,GODDA,24.859,87.308
JHARKHAND,GUMLA,23.103,84.532
JHARKHAND,HAZARIBAG,24.055,85.419
JHARKHAND,JAMTARA,23.976,86.907
JHARKHAND,KHUNTI,22.994,85.262
JHARKHAND,KODERMA,24.499,85.666
JHARKHAND,LATEHAR,23.719,84.442
JHARKHAND,LOHARDAGA,23.476,84.669
JHARKHAND,PAKUR,24.564,87.662
JHARKHAND,PALAMU,24.203,84.167
JHARKHAND,RAMGARH,23.635,85.563
JHARKHAND,RANCHI,23.329,85.373
JHARKHAND,SAHIBGANJ,25.01,87.677
JHARKHAND,SERAIKELA-KHARSAWAN,22.848,85.95
JHARKHAND,SIMDEGA,22.582,84.564
JHARKHAND,WEST SINGHBHUM,22.421,85.518
KARNATAKA,BAGALKOTE,16.221,75.626
KARNATAKA,BALLARI,15.11,76.533
KARNATAKA,BELAGAVI,16.121,74.824
KARNATAKA,BENGALURU RURAL,13.227,77.574
MADHYA PRADESH,BHOPAL,23.47,77.391
KARNATAKA,BIDAR,17.952,77.225
KARNATAKA,CHAMARAJANAGAR,11.958,77.098
KARNATAKA,CHIKABALLAPURA,13.578,77.835
KARNATAKA,CHIKKAMAGALURU,13.455,75.691
KARNATAKA,CHITRADURGA,14.169,76.515
KARNATAKA,DAKSHINA KANNADA,12.853,75.251
